Address,Transaction ID,TotalCommitedALGO,Committed Algo Amount,Committed LP Tokens in Algo,Total committed amount eligible for extra rewards in ALGO,Registration Datetime,Beneficiary Address,xGov Controller Address,xGov
V4YV3KBXE5I732Y5DUW4YZMVYT2W5A2NURWSBYFFWJ33E4J4XCYKUKHYRU,AKX5JDIRP6AFZSGGDOTKSJBCDDVKZ3ERTEJY7UZ5DSHFCHOKFREQ,720000,720000,0,0,2024-10-10 12:22:53.594276+00:00,,,No
3XBSYFKN4BT5HYBJ7V6VVJUYHYUVD5P7CAR77ZMCJSCK4LHLZLHDLYN2WQ,DNN2HYU7XD2XZ2GZ4LVXGXSYD6CXTQ4H3ZZSFSKABYPIQO6DGTOA,146100574631,146100574631,0,0,2024-10-10 12:21:28.588976+00:00,,,No
AHHSGZ2FQZ6XBYOMR6O4PXB3H6NQPC5GKTPM6SJHRZ67T2SRUODEYCOT7M,MB4BFKI7OVRIM4YWIOW6DN4FCNNXWZW2A45M6KEN26FQHPOM5KQA,1561156,1561156,0,0,2024-10-10 12:20:48.714474+00:00,,,No
VVG7Y3HIV2ACUOAIP4ECUFK2OVUFQWMM2YB6GN2CVDLCEOEGQ2XJC567UY,L23VVB2LQQ6JN4U2YRSGOV5U3GJDOXEWDC42GVJOJ6OUFKQM7RVQ,52274083772,1000000,52273083772,52273083772,2024-10-10 12:19:07.403234+00:00,,,No
H53CT7CUQYSBY67ITW7ZMZKCGPSR64NBQEW3DO35THCXNTRP3QI6Q5F3AI,KYXTPTBX2LGGRM5GYIZL5XX6QGBSOSXP5DEUIXJSFPIWEUPYXCLQ,87710000000,87710000000,0,0,2024-10-10 12:18:56.216622+00:00,,,No
FHC4YRH5BHGCM5KECX2UL3IVS4QHTHPS56BNRFBGVPNS7644UITTJG7TUM,AQZAZJNOX5L6WPF25PDPQ5YRI6OZGBWOF6QJIAQ75M7H6LD7EV5Q,9065000000,9065000000,0,0,2024-10-10 12:13:57.653754+00:00,,,No
SRC25CDPFAHR7SKDLA34XYRYQVLRPNPUY72KPMGMVV3RSB62PVH7PKTIRY,FYF4PR75FT5PTGYSY7NS4PITSROODUSFZYV4VDWLW7XZ62ZXEHTA,9920000000,9920000000,0,9920000000,2024-10-10 12:10:22.228134+00:00,3CY72ND54WJXDORBS6ST544JPMH4JHFKHKQGS5HG5OHID3TP3YGCENIIRY,,No
YYQF2BK3HKRMVFTW6TP4NSENT67OGWL424DKGWYZ4B2SPF2NAVDR4QGTBA,GVPOT3IBO26S2WXFEJPKZ4ZFYZ2GTL4F42EDKFJZCJZOMG73H25A,25200000000,25200000000,0,25200000000,2024-10-10 12:08:30.612118+00:00,GCBBNTNA2K4GX2LX3VVZOBCJETNROVM5K2AL36TRW47BLEHXA5NSPDAKK4,,No
5FWRRH3NNSYYFX7FZDIJLFGW2BWAVK4VDMPOIM2DN27KJLSG5J37QUX25Y,7XHS3FOMHBC4L6R36KTSS22OOLA6V6KD5ZFCC3HDJ3SPZG45EDNQ,743256724,743256724,0,743256724,2024-10-10 11:58:10.787453+00:00,4FPRLHQIIEG5M25S5SRTTQYYXZJJCZ6VLH25VZ3IQT7IHVCP7QB7GRBGIQ,,No
3N7RGRRWRHLXZNVOGTGIDP7CXJKV6PW6ZAHF4VS4FM5JLUYHL7KW6NYXAQ,C3OKFVDMS5JGTBLMG3XSKWYJBMXKBRGN6BK5FSO7ULITH2PVSWRQ,1367677869,1367677869,0,0,2024-10-10 11:58:05.383470+00:00,,,No
4FPRLHQIIEG5M25S5SRTTQYYXZJJCZ6VLH25VZ3IQT7IHVCP7QB7GRBGIQ,5QSY7AKKXRBVEVMENETIUDUJZMNJZW3OQWQ2H26W7EYMDKXTYIYQ,1000000,1000000,0,0,2024-10-10 11:57:10.890687+00:00,,,No
L224S3D3L4BAMN7XSHV4WGIP26XYF5GWCQC3256W4UYSMUGJF5272VCRZI,NQLKTIHHAPRS477W5JXDVH5EA464GQU3IRBFMWPWSU2L6XYE57KA,109052587135,109052587135,0,109052587135,2024-10-10 11:55:31.630545+00:00,E7YQQC5HJH6D4A3432QGE6FSSSAUKYJJ64YCHDNC2XA4OLPBUC4KCWZTRE,,No
3WTTIF7DQDUIYHDGSLYTFMLB3CLADHOY6427WPJMBCFVZWEN35FWQ6JUBM,JM7544LJ423FJT2L5X4OW5D2RP3I2Y6EJSJLXC6BG6GHDAMABAUA,17000000000,17000000000,0,0,2024-10-10 11:55:06.293561+00:00,,,No
SI3HNAFBZMT2ZKXGB6NY2J4Y7H64KTHPMBGOXKTGWLNDLWTIH3NKMWD6J4,WH2WHUERPTBD5AVULN264QGT4UR4LS73RES3MO7K2M2HG54YNS5A,1000000,1000000,0,1000000,2024-10-10 11:51:02.533147+00:00,QXPL2EFWNQPZAF445JCX4WLRU7Z4L6WXVWIBJH4CF6LGWUKJT5RPBKWLQI,,No
QTCW5P74EKKO3A27SURWDIHO2HPJSBZ5ZZTKPDVW2UBAXBZM2XYIZHSO2A,BOGJ4S2LNNU57Q752EFDGCTWH7DUNHWBFHG7YZT4NAWAZOVFOWCQ,10449210345,10449210345,0,0,2024-10-10 11:50:54.683642+00:00,,,No
KONMWYRXYT3LOL2ED7UYQSBBMDKOOFRDIB67NPC6PENUKHDWHI77R57CJ4,E3WA3LTHVRRQPAKRYUEDUNSQC233I2EHUDVBFR2V2O3VBN6HH4ZQ,16714430,16714430,0,0,2024-10-10 11:50:42.373864+00:00,,,No
5Y4JB6ZQXYFHVKCTUE4YYHTIOYUYCU5C5HTJG3J2PGD2ZLUIUZGWHFUVTE,APIV2QMPRXKK2KTWJTMLI3DJTAUQJXNGJW4BWILAP7F7PD6ZTPGQ,10900000000,10900000000,0,10900000000,2024-10-10 11:50:11.535471+00:00,P26EJ7LZO4AWKW3SQ7V37CNDQ24JSHF4VYVJBTFDKWMH4E2UDWTDSKVJQA,,No
E4NWIEVYW3LWFB6LPJK7Q4KMXXUQUQXFQ2HJEYUWXYBZ27NXMHYLXA66MI,LRCRR5IAIO7T32YSQDM6GYMND5GLX66RVPXS5BZ77XQ4XEIZ4X5Q,120000000000,120000000000,0,120000000000,2024-10-10 11:48:23.029661+00:00,RCIM5JWYIX7GG6MYYX4DHVVWRA7DNZNHT4KE2S3IPQ65B2N2NFNMUKYMHY,,No
REDC5XEGNXSQ5ZZE6PKZV3A73HSGDSNJX22AW5GQCROJYKUHCEA7TOLMHY,2ZQOLYVHCPYCE6Z7J5MUXX3KI3R3SEQTFYAMAOCL7XTBBPTP5TJA,43000000,43000000,0,0,2024-10-10 11:47:29.743485+00:00,,,No
DWHZMQOMSPX3REFKGQVAEFV2I24LC6C57G4RKYISTH3W4YUQYIP6BLIOFY,FY3S7JGP3NSAOUGYUSNLBM5PTUBGMTARFFNXN4PY7N2WPTA7AKFQ,120000000000,120000000000,0,120000000000,2024-10-10 11:46:42.622743+00:00,KI6O5NYD7WIAN7I2CBI27IWRSV3XM353MGUXIB655VUKBVOCZCVODCKTS4,,No
7SHJ7LOMI5QEB5AYNCS42VTUNHK5QQSMKJJQKB75HFTSTDVWDIBNFFTQO4,IPBFKFK6RXM7XXYYD5DQHDMINCEXXLEIKPHK2STVZ7RNAFJXMHBQ,120000000000,120000000000,0,120000000000,2024-10-10 11:44:14.876788+00:00,SIMTYL5UNFGLFH6ZEEAW7UG7S2DQKJREAZEMGATJ2DDGM4FWZTSWAUL4TI,,No
ZZAG6MGUOO2LGZHI3K5EYAZMR67KXEQRLP5FY2T6N73HFX6FSJZC5HWMF4,WIX5PE2KWJB57ALW72FHDFAAAI27HFMC5GXLLGV7IS43NTCRSGZQ,22179047030,22179047030,0,0,2024-10-10 11:43:54.767904+00:00,,,No
HIAARLOMP6VEYHGVHH2ATJJNDO6PYBGGCGNR3YDRCRWMOQ57OAE7ST4D44,MCJAJB5L34BO3AC2GJPVH7F6TBSVIO3SHD3EVP2NZVDVF7J2Z5HQ,6717637792,6717637792,0,0,2024-10-10 11:40:26.901857+00:00,,,No
YWZFIFZV43X5UXEM2AYKVGM3QCRULEEOALGMCEFLGJ7AOMJDRP77BZZZG4,DSC4OP4SX5M5OTFAV7T4KXMSKADOIANCWVVRHA4VTVCHJB5HEYIQ,7259037989,7259037989,0,0,2024-10-10 11:38:38.338229+00:00,,,No
WYI6API2G6MORDNRIUCCES3IHAQH5HHFE3AR4VR7RW2CT3FYDEEKJ5YCPM,ULOOOSA7JZU5C2AKGWLF3C7DVAQZSGORMDM6KYUAY4RUGQBBHDHQ,12462000000,12462000000,0,0,2024-10-10 11:36:12.087622+00:00,,,No
3NDJNBHPVU7YIGGKG46SY6SLTG3XLWYJGFVBKMEWDUAL6G2GOLYMOOV4CA,32OH4DVRPGZ4D2VVPUXSCLNJY6CSW34ZC6QMXTWX2DGMBLGIG5KA,12500000000,12500000000,0,0,2024-10-10 11:32:51.169860+00:00,,,No
CI52UX5N6NUNJJTD5SME73B23CXV47TRXVCGLUWXKNPDPISZPZRG6QHWSI,34HUNGVTG3YLACYDATNJMGICOIROCWASHAQPTT5PIBQ3H3XQAXVA,12963363934,12963363934,0,0,2024-10-10 11:19:09.150378+00:00,,,No
TAJ3QYT4V5FSINW7CNMMVZMFVXR3BZ7GHOR56DNMARMJBXRKH7FE5W3XTI,RYX2QFLRBHJCW3OIGJGJU5GT2ZEQ7UZZ27ZSYOQNBNNZIFBP3L3Q,33000000,33000000,0,0,2024-10-10 11:18:31.277710+00:00,,,No
57YXM4BJARLDNPFYSLIBZYEZT5SBXVIKRVNFUEFAWEW4V652N4XAJQHURU,IZTC6OIGQTZMCMPWQ57DABRAIV5BRZUD4MKYR7N4ZN3UGFXESIPA,350000000,350000000,0,0,2024-10-10 11:14:09.395949+00:00,,,No
PROP4HOFMTB6OA6M4MFDPPGMTRWEPQYDRCBHGMCZW7SBW5XPQL4XII7LGA,QULTAKAPBDEY4R7TAMYNLWMROJGVSV2F2XH6L5QRAEXXNEEZW4DA,1100000000,1100000000,0,0,2024-10-10 11:13:01.407361+00:00,,,No
5FVWDLCTDJRE3S57KDFRQDR6TLRALKZPTFKMGPYBM6ZOER7JR6VGZMARCU,TQ5V3EAWW64YMSI2ARU66K5YEYMDY5PX3JSRCHEWSBZF55FAPWIA,100082689559,100082689559,0,0,2024-10-10 11:12:32.975092+00:00,,,No
SWDO3IG4RH4OXXZRDRI5QY2VBWB5SZ52BUFTGAZB3OYJS32RSYBP7S7NQM,DDF5K2ICA3ZM2LRPG5ECZYUHPRMVQPRBTWTYIAPTZNARWMKWQ6FQ,10774937545,10774937545,0,0,2024-10-10 11:12:24.530536+00:00,,,No
5KCST53PGLHZESWW6KBTSZT65JCVN6XJRXLFP64B7C46UDJOAA74NWU5MI,JJULM2OUFIVFNEUZIUV2BBL43M7DGQ2PLXSFBDVE5DE5V5U2TCZQ,110000000,110000000,0,0,2024-10-10 11:12:02.120173+00:00,,,No
BTJC23ZGBANZHQNPVFT6EWRB2PI6QIXQF6IACXBFBFTLWRWT5QNCOPT3CM,DVP6VRK4YZJR2KZPAYPEAC4P46YLTTX325TGLNTVJSJ3J6W77HCQ,12000000,12000000,0,0,2024-10-10 11:10:45.040242+00:00,,,No
SPBC4DL7R4RQBA34MYCMQWJ2GCWJIRJJBFHRABXAATZUPWLQJVKZJZNRKU,JEPCBB6JFV4BCN4BZCOJTUCN4DZQSSEJPM643EMPMCBLQ3XGHHVQ,11572262154,1250000000,10322262154,10322262154,2024-10-10 11:08:26.826190+00:00,,,No
