Date,BKEX,BTC Markets,BTCTurk,Binance,BingX,BitGo,BitPanda,BitZ,Bitbox,Bitfinex,Bitkub,Bitmax,Bitrue,Bitso,Bitstamp,Bittrex,Bitvavo,Blockchain.com,ByBit,Changelly,CoinSpot,Coinbase,Coinex,Coinlist,Crypto.com,Gate.io,Hotbit,Indodax,Koibanx,Korbit,Kraken,Kucoin,MEXC,Netcoins,OKX,OkCoin,Paribu,Phemex,ProBit,Ripio,UpHold,Vindax,WhiteBIT,Total
2024-08-18,35490.044553000014,15052073.739736993,18431573.102915004,544072917.8005339,3207059.5816199994,0.1979999989271164,115531945.61121702,0.1000000000803993,4645.409785000049,6980367.25813001,283777.8336379993,19428.769963000963,1375453.8028780003,5799622.329515003,2479472.996649011,202111.76602799952,117565010.33805102,64861.07402299988,76511553.91288294,1212697.6224529992,44332454.92586302,1005038671.7233124,2813650.701463002,945352.726342993,90313654.02411991,14652150.80241897,702945.8213980001,3838578.332992001,3.1260000000000048,3425637.858416003,7774256.528087134,3183295.171061992,4115070.832775998,1717238.7470719998,41489841.355344005,914837.4031360016,10313663.368710006,2174803.104565002,38100.20350899999,12665.791512999947,699699910.179447,926.5680990000004,219868.49326099892,2846547641.081479
2024-08-19,35490.044553000014,15038466.959417991,18431573.102915004,550915303.4634678,3210453.0661659995,0.1979999989271164,115619704.34302902,0.1000000000803993,4645.409785000049,6969701.52630001,314428.56563799933,18962.866963000964,1350308.1092420004,5806240.416033003,2428294.796094011,202111.76604099956,117375391.70706402,64683.176231999874,76857688.01105393,1491695.1086709993,44332183.89399502,1005372646.6375494,2826197.4546560016,931891.902458993,90313682.6388449,14613887.36627497,687249.8160630001,3838578.332992001,3.1260000000000048,3425587.857416003,7848052.672444133,3815556.224369992,2493845.994092998,1731781.4716259998,41644702.561206006,914837.4031360016,10301703.930510003,2188766.328653002,33716.74833999999,12468.005803999948,699642999.9345571,926.5680990000004,219868.49326099892,2853326278.0990148
2024-08-20,35490.044553000014,14946129.166984994,18433267.861615,550036681.4450208,3211223.6340459995,0.1979999989271164,115786387.97572102,0.1000000000803993,4645.409785000049,6859876.55147101,238275.7580059993,18898.363963000964,1333238.3675020004,5816852.156283002,2454276.941933011,202111.76604099956,117296935.782776,67309.81449699987,77144839.87806894,1417776.5736869993,44325110.51788202,1005133782.2492704,2787000.316637001,900292.306178993,90458441.7817879,14508357.47898997,700177.1515650001,3838578.332992001,3.1260000000000048,3425587.857416003,7647514.942835133,2761063.3400639915,6292839.991558998,1731781.4716259998,42426364.057244,914815.0932360016,10236820.377378006,1639352.5016290022,33716.74833999999,12259.953920999948,699611149.9891601,926.5680990000004,221386.74793899892,2854911540.6917033
2024-08-21,35490.044553000014,14946320.461274996,18433267.861615,550120223.3756258,3223131.3626479995,0.1979999989271164,115857702.597528,0.1000000000803993,4645.409785000049,6789579.35469801,226720.1964639993,18898.363963000964,1352165.7608950003,5800167.194728002,2440526.622892011,202111.76604099956,117513168.47842102,67309.81449699987,76976876.01100095,1374754.9753189993,44314471.56168702,1005387430.7291754,2807783.273065001,895004.095029993,90485436.1261969,14368565.23840097,798501.0565950001,3838578.332992001,3.1260000000000048,3424587.856416003,9114626.418047134,3601105.702859991,4123169.408597998,1735307.1268949998,42321862.340153,914815.0932360016,10217917.982558006,1652012.804914002,33716.747339999994,12246.787061999948,699580590.946773,926.5680990000004,221386.74793899892,2855233106.0199814
2024-08-22,35490.044553000014,14941393.083902994,18433267.861615,551205490.5468519,3230402.8588499995,0.1979999989271164,116741593.379202,0.1000000000803993,4645.409785000049,6777516.3708060095,231601.4580239993,18734.662963000963,1351355.1068040002,5767128.203425002,2449556.549456011,202111.76604099956,117386350.27661002,67309.81449699987,77096609.77967495,1240430.9899529992,44322556.25997602,1005069665.2047796,2811983.065774001,882201.342397993,90429770.14157993,14493041.15559197,846915.8108450001,3838578.332992001,3.1260000000000048,3423280.980738003,8256794.693054134,3121571.5611719918,3129221.308636998,1735257.0592289998,43057774.931833,914815.0932360016,10206381.723643009,1595406.225905002,33716.74133999999,12158.360864999946,699536167.354539,926.5680990000004,221386.74793899892,2855120562.2511797
2024-08-23,35490.044553000014,14896924.149761992,18433267.861615,555802665.8193349,3233518.018444,0.1979999989271164,116706735.543762,0.1000000000803993,4645.409785000049,6811386.24300601,269692.0616139993,17334.056963000963,1369453.5109370002,5770679.1847370025,2392299.574151011,202111.76604099956,117868280.19323102,66737.09253699987,77214655.83813895,1181955.7531429993,44321394.26298502,1004989792.7534844,2843992.706290001,877405.060185993,90411117.80574392,14534812.04899597,774881.5372720001,3838578.332992001,3.1260000000000048,3405417.9294040026,8219612.186705134,3242653.924133992,1216177.4301989975,1748144.5586749995,43734989.953811,914031.5299800016,10178030.333483009,1599653.573566002,33716.74133999999,11936.858313999946,699494331.511026,926.5680990000004,221386.74793899892,2858890819.900379
2024-08-24,35490.044553000014,14893129.069885992,18433532.069997,554618901.0126978,3233772.7201799992,0.1979999989271164,116663958.38835,0.1000000000803993,4645.409785000049,6811491.275327009,251188.4310859993,17334.056963000963,1372936.463131,5771447.401379002,2332774.777784012,202111.76604099956,117451310.27724102,66315.34263499988,78177455.64475295,1592592.5487209992,44323867.02648502,1002466281.6268244,2844794.433243001,856650.853502993,90482045.89558391,14631687.07119897,770003.5054160001,3838578.332992001,3.1260000000000048,3405117.9264040026,7617903.028458134,2576551.5695159915,2855758.6252099974,1746655.6272539997,44389812.180953,891404.3967990015,10220062.025491009,1540924.809638002,33478.74034,11935.858013999949,699508392.617699,926.5680990000004,221677.44793899896,2857164900.29157
2024-08-25,35490.044553000014,14891400.674807994,18433532.069997,556192453.8044949,3585006.3461289997,0.1979999989271164,116659475.978645,0.1000000000803993,4645.409785000049,7084402.5591890095,160300.0958759993,16120.947753000964,1315484.158507,5736890.675210002,2437334.652630012,202111.76604099956,117580766.77189,66238.41975699988,78608352.03398295,1272960.7892299993,44312539.46418202,1002299818.1744144,2800524.149300001,838681.9047729931,90406888.20804691,14682772.89442097,763894.9693730001,3838578.332992001,3.1260000000000048,3410117.825404003,7545859.874425135,2193699.668425992,2313226.187748997,1746655.6272539997,44524796.198634,887792.1548620015,10210840.969216006,1544727.885345002,33478.74034,11935.857013999948,699504447.2967861,926.5680990000004,222439.27593899897,2858377612.849473
2024-08-26,35490.044553000014,14891484.367907992,18433532.069997,555966086.5253259,3618959.437170999,0.1979999989271164,116931961.439386,0.1000000000803993,4645.409785000049,7084425.243717009,200373.6161829993,66510.76486700097,1303824.596763,5738047.057253002,2273227.9005650114,202111.76604099956,117474003.89118402,62618.61747999988,78271875.38869594,1225960.4283459992,44340659.48981902,1003295833.2417064,2793768.2150990013,828291.050988993,90347268.07862993,14428037.32650097,718662.776426,3838578.332992001,3.1260000000000048,3408803.3046250027,6965238.284040134,1347908.1353739917,2107366.8101409976,1749878.2518019998,44338912.075565,887792.1548620015,10249401.580441006,1587807.825937002,33478.74034,11935.857013999948,699496726.0909581,926.5680990000004,222439.27593899897,2856784855.4565206
2024-08-27,35490.044553000014,14877044.999589993,18433532.069997,555153742.807334,3612846.205925999,0.1979999989271164,117396296.958879,0.1000000000803993,4645.409785000049,7100153.162690009,228083.6518609993,6345.162867000967,1289869.4168639998,5749313.530502002,2216339.0105650118,202111.76604099956,117400528.386713,62618.61747999988,77985225.35559393,1211947.749821999,44331965.84384502,1004016171.5821364,2830779.751664001,822528.144476993,90298138.41834693,14602918.62560597,698151.9849180001,3838578.332992001,3.1260000000000048,3408803.3046250027,6906358.569416135,1615288.1243099915,2103186.092700998,1749878.2518019998,44454217.83148199,887792.1548620015,10254149.251569005,1602703.430927002,33478.74034,11866.715011999946,699535056.8210081,926.5680990000004,223439.17493899897,2857192515.446141
