addr,app_id,label,is_cex,entity_name,tags
WXVQR4CFBF3USC5JXFFN5R6MMOZPGOHI3GKZFBU3S5NI5PTKWPBFCPZWZA,,BTC Markets,1,BTC Markets,CEX
BMHBWFCZDR6SWDB6X2RH4OFPLPX5VVGCAXNXWUOCPUD3WWLDY7VY3TQJMI,,BTCTurk,1,BTCTurk,CEX
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,,ByBit (?),1,ByBit,CEX
NXOY7T2J75FUSB7WB5FJXQQFIJFV4K7UZN4M5RC5BX2526FLUQWPBXN6IY,,Changelly,1,Changelly,CEX
4UE7AHNYEYD5Z2VJUYTU5JIXHLFJIVBXF3RXZRJSMN4ASAJEJOOBYOK4AE,,Changelly,1,Changelly,CEX
6PO62A5VTCIQJWFGEV7RNAGXE5AVCIFI5VYOO4MX6OFEQHB6P2XCXW3SBY,,Changelly,1,Changelly,CEX
J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,,Coinbase,1,Coinbase,CEX
5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,,Coinbase,1,Coinbase,CEX
ZDEFFZZ4NAWFP525TOGNWICWOXKOF74DFMYCE6BMMZIZVX5NNPYKN4SRRA,,Coinbase,1,Coinbase,CEX
LYKPESAJWNRAV7XADUHBKLADBK47HWKIM4W3K7ICKXXEURMP2AJLYLFDF4,,Coinbase,1,Coinbase,CEX
WZY5ZGJ57YOVJ2TCMFXIH6TNLDC2FI2UJSWGG4XN5RK4XVQX4MMOIZD2AU,,Coinbase,1,Coinbase,CEX
KQ6FVR6PTHMV7QV47LBSR3LVM3EWSNHJPTWQ7GUEFLI2NGKC3RAULQ27K4,,Coinbase,1,Coinbase,CEX
DLRY7TLD3KXB4G6IAIW5KGUZEVIDBS2OZ3LR7RFSJD2KEUDKWFXEBPK3HU,,Coinbase,1,Coinbase,CEX
WD5EDLJCLRWFIBEUCT43J6QM3LGVNSYXUSMWGUKKUMJBZ65IKQWIAV2LIY,,Coinbase,1,Coinbase,CEX
FFLRE4VZK35KAU65VLBRMR4KZVHE4S2TEXJJ6K4POZJZXUND3V2V6DVJNU,,Coinbase,1,Coinbase,CEX
A3MYPLCU5ZVXDJEAXAVV2SAUWJ4INWGPYOKM3FWOGUASOJ7V2L6DTC5YN4,,Coinbase,1,Coinbase,CEX
