,address,amount_dec,circulating,label
45,4MLHUEBK42XYLKZYXDGXKYF6ESWFJKIJMPV3WF5TX5RRS5JBTYRP4KEBOE,"50,000.00",True,
46,T7KYVECXRBU2DUQ2ILCTNHDOIQB4YAZRYU7H6ROG55L6HHVGY4E5ZBRNP4,"50,000.00",True,
47,Y2BIEUYVQ6YFCAJCW6GLENM7WSBARYG7UC5KY727HLJXLKQASKJSTWVYRQ,"70,200.00",True,
48,CYNS5UJHA5R273RYIMMRWWHNZANRKZ5ZDBEBEFUKSMDQAXSIS7JSXVWOQY,"90,000.00",True,
49,27D6WYEDJZHLFCLJNDJF63RFYFO32KZHOYBHET7BSVDHSTJQQI5GFN2QVI,"198,571.41",True,Coinbase 3
50,X2CFU6IRYSWRFQX2PE6LI4LLE6HIODFTCCSFCTSIGNP53UD7ZX2GOFPQM4,"31,000.00",True,
51,Q5Q5FC5PTYQIUX5PGNTEW22UJHJHVVUEMMWV2LSG6MGT33YQ54ST7FEIGA,"309,668.58",True,
52,PIN3FCGO2AJ3HMQZWOYP47MHIGGNIBGSWMVVX23OL3OVAN6EIUZAWWBMGQ,"11,361.38",True,algofiorg.algo
53,XTBS6AM3T6L6WHFP2TINEKBRFZ3RKTDZMMDU2D7IZPNGOIFMOPO5LSZNEQ,"14,805.77",True,
54,G6GZ6F5MO46P65HUW7ISUY2XFFN2MMRGPKT42UIV3KALVCRNYR4B5THO64,"12,578.00",True,
55,GEFKPKONTZBEMSUZVQ54CQUOLULEMWZDP5T2OTAFNCOSTLJUS5SKQCONWM,"126,452.97",True,
56,HFGAMXKB7WI2FSCT744XT2VGW6KNQHWUZMX3NEKUDTHINU2NEOP6L5ELHE,"20,249.73",True,
57,SMPR2XXNYHNXM7275HL4RXAK5MHFGLJTQCSW7OPZNKWD7BYHX2ELQCDE4I,"50,063.26",True,
58,NU2TV2RV7ZYNULMQQ26O6BOCLWMKJAC7RZNMZ34NI3RFTWMB2WFQBQEF6M,"14,703.79",True,
59,KVUAZMNJBQI7R7OC7JHBZSS3K32LYK7ARMSGIAESHUKSW77DYRPKUXXD7Q,"21,711.25",True,
60,TNH6HJBRWXHWHQ4SDNII6WLNDSRRMLBOEGORTBUBPMR6AOZF64V65WSBFI,"72,313.00",True,
61,AJU3JG7BT5HUDB7HHVK27K3JLJ44RNS2T5X5J7ZLBZQ4M2IXABKUSICLCQ,"100,100.00",True,
62,BNOXZPG5ENEUAMXBBFWIF3PP4AMYTZIFISXNCRZJRTOIHO2FAISG2EMOZI,"13,242.80",True,
63,RSID3VKJCIDTZ3ENDHPPN7SHJTVZ763QHTFR6HYDJXQFTUKWKKKU22UBCI,"24,296.95",True,
64,VPGTQVXVXCJIZPQVM6SLWX6R3LBI7FZBYIUUMK2WTRQL3S7VPEQNFDUHEU,"15,000.00",True,
65,RIHFDJ6U7R6C4Y4SRAPKTAZYMGHGGXS5M5MKHOYAXSGWB2M2KE5BZMSSHQ,"11,002.00",True,
66,OTUPIK7WQG5ZNFNO5AKIDFXORDE2V4YUP5GMPZQ5D3EM7WPLWAQ7GOAVN4,"50,000.79",True,
67,YFKOK7HNLZ2I5RALOKLM47OLDDFSDWU66TCLSJZGT2C5CVQ52C6ZSJJEZQ,"10,020.01",True,
68,G7QSPDUW55TMDJZS4P4VF527PZ4MMEIAVK5EALSK7DQBL2E6TMBUYPUIBM,"20,490.70",True,
69,DHIH6HBXCU7NQ6KUFHKFYWJH5RVGJKAJ5DQJVYBEGC5WKU33XL6JZWD6HE,"17,819.86",True,
70,3I3RIZHS4CX6FHW5SZROL4KTKRODCCG7F37RYTZQOIIOPNOSYIU647AZJA,"14,994.27",True,
71,WK7Q7YTNDHXWDIMKYQEBGEGTVLTVJYA6SCQE32ATI4T3IGBM3MHCASNCHU,"14,998.83",True,
72,36YH6J2JNTCXMET7O2T62ZTLRJYIPT5GFTTW7Z2RRRN534Q5RQHMHEJV2A,"10,000.00",True,
73,SO6ZNE255CHM56JNA6SYDAKIMHC266DGM4G47O6N66UT57HZZ7VV6Y2N7Y,"23,663.84",True,Circle Finance
74,OSS3CEB3KK2QGVW4DZYMHLDJMJIY7WKFQCPXV7KOZCGF6GPILAARBOGZHM,"213,027,316.21",True,Circle Finance
75,MD6AOD4Z53QVSOY4K3QSTSVQI2YYY6YBXKGOXWNBEO4UPYNHCQWHAORZSY,"13,500.00",True,
76,V3RB3NOH5HEF6UW7Q32Y3SG4AGWMISPWPBZ7ILC32AG5SS2X5CZBW7MZHA,"56,154.59",True,
77,UXVAPU4KERSMNUILDVZUKKF4KMWQ7RFSSYPXYSEGSYNYILC4FEHISKRBNM,"253,729.59",True,Coinbase Pro
78,HZ2RFKAI36PRCVUGRZ76BTFWAXKXYODCNECBQJZGCUWIVFL2KYZ6FK23TE,"38,000.76",True,
79,KRO2V3GZCN4R3YWTYIGFPPFG2LATR6CENCL4BIPZBRGTHKJAKVEYN6JDAQ,"18,225.28",True,
80,GMSROU4YPZKUS7RF325WG64KO3CONFNNRE4LEMJCUSPVEBNW57BSP7UZ24,"172,000.00",True,
81,NIGZMF3NEU7627H7Y45P74FD5AS2R4QJ5MCRRJW2CFII5QJCNSO5MXR27E,"203,857.45",True,
82,M5SZTUPDT37RJQPTVBCNMOUUU2JUOD46ZM3BBYIS3MKO6XMV27PKMJQLYI,"10,059.01",True,
83,UFEGR4QLQJFRCMJ2436XWIC6VI4NHN47WU2IVPN5I7TH7JUD3EAQCJMN6M,"37,523.89",True,
84,JWB5ZSKESVDADUZYCV237DPPXCHEZFFCX5LEZIXKVDSQYCLC77MEV3SMAE,"11,412.28",True,
85,LEHOHH76T2EDG4AY7HIZVDX7V6V7JSVMCT7VGE3HTK23BEDIILEWQP6SAU,"24,846.70",True,
86,FPOU46NBKTWUZCNMNQNXRWNW3SMPOOK4ZJIN5WSILCWP662ANJLTXVRUKA,"59,015.45",True,
87,MQOZTXRBYZ6JIPGQLNV6Y4REHFKVZKBXKIJVOGEYUDPLQNYZ5YJP72XZOE,"888,610.20",True,Coinbase 2
88,UCEDCIQCQOIYFKUV37VGFVS3Y64VCTHGA23W5LBK5PW7FYPCHUABTLPUT4,"10,678.01",True,
89,OBVJZPLR4JGNYVE22LUH36IEOSOAW6VCFZOZIDK4AGNLUXC7M7PTIYY6N4,"18,881.62",True,
