addr,app_id,label,is_cex,entity_name,tags
OPY7XNB5LVMECF3PHJGQV2U33LZPM5FBUXA3JJPHANAG5B7GEYUPZJVYRE,465814278,Algofi - STBL (Market contract),0,Algofi,DeFi
DYLJJES76YQCOUK6D4RALIPJ76U5QT7L6A2KP6QTOH63OBLFKLTER2J6IA,482608867,Algofi - STBL (Market contract),0,Algofi,DeFi
SKH3QKDUT2BWIZD7WODZMQCR4IKAUVW2NR67UZNSXFH7MXOGASOB3IFCNE,611804624,Algofi - STBL-ALGO (Manager contract),0,Algofi,DeFi
5VJBR6QI27YEFNMPITUDSOWRM54GZGH3D2OU6HIZFMTWWAIOKDQ7NF72D4,611801333,Algofi - STBL-ALGO (Market contract),0,Algofi,DeFi
MIOKVGPKOHVZM2KRPDFRNDXYVVA5FZ3TIM5OR2QDTQ5UFB2ICWYY44VCCQ,639747739,Algofi - STBL-DEFLY (Manager contract),0,Algofi,DeFi
2ZAELECBKOA3XULWXVFVL52EVILWQOWBWHQLO3KATEJEXWZHX3KJ5L46G4,639747119,Algofi - STBL-DEFLY (Market contract),0,Algofi,DeFi
NU6F4TIRFAZYMFJAGX3T7DXPCSLPRXVSITT4UF57OIEM4BKECDBG3TNN2Q,635863793,Algofi - STBL-GOBTC (Manager contract),0,Algofi,DeFi
KKZHMTU22UO43EAG7SJGUGDKZNI65CVNRROF3NZ35S23SUZWGODESAOF4Y,635860537,Algofi - STBL-GOBTC (Market contract),0,Algofi,DeFi
R4OR4QIGTMUCIJNQA4PV7SUAEBQUPDHXA7TJGTECVUBIF2M4WAF6S7JGTA,635866213,Algofi - STBL-GOETH (Manager contract),0,Algofi,DeFi
6LIQSNKB3WH226AXLLZU7OL6WXTY7S62N66OYHLVGGBENDUDU3ATKIGDAQ,635864509,Algofi - STBL-GOETH (Market contract),0,Algofi,DeFi
ZJ2NAMBLJJABX2J42JUO2Z66ZQHO4FPTL42OUSEXKBTSRDD3MVO6MR6GWI,637795072,Algofi - STBL-OPUL (Manager contract),0,Algofi,DeFi
SX5YC2N2D657HCEZDQQPVMYB3PAHLFSFWXDQJS5GAGK4PYE3UD3TZTRWXA,637793356,Algofi - STBL-OPUL (Market contract),0,Algofi,DeFi
PR7HILT7NENYR7SBMGOXDNZLRV5LCED4IUSHQ7N3DNAUKUH3G3BNRXTZTM,611869320,Algofi - STBL-USDC (Manager contract),0,Algofi,DeFi
WVCIYSN25IQYEOZUI3AM4DWHNEYFCPRYWEZD34SEYPSJ4VSMB5S5WPCLKQ,611867642,Algofi - STBL-USDC (Market contract),0,Algofi,DeFi
PQT7UC2IXUECGVVW2ZSP3JUU23TQCECI2ULLPZ4VRXVQZWAXFPR66NDJ4A,635813909,Algofi - STBL-XET (Manager contract),0,Algofi,DeFi
OPGEPS7ZW6PIH4JU3WHIYCMME5N4NTOCOZKXOCWYBLURGSLEIQE5ZSBX6Q,635812850,Algofi - STBL-XET (Market contract),0,Algofi,DeFi
JE64YADSGF7XF6DMXH5SEBWUNGVPSTSS6XQDY6LR5ITG3MBGNGFAX4LKBM,647785804,Algofi - STBL-ZONE (Manager contract),0,Algofi,DeFi
FEQ6DDIY745ZNCSQ5SZUWGRLFIINT2HIVN6KLNSLQNRMG2SDWICJBYIMWY,647785158,Algofi - STBL-ZONE (Market contract),0,Algofi,DeFi
4SNLE5W7UOTDJZG6RNEVB35R7FU2O2RQSHKZYDFZ3BLRHKOG3T3GRF5SYE,553869413,Algofi - Tinyman STBL-USDC (Manager contract),0,Algofi,DeFi
WICHUQ6FWYQPP777TEEZCO5C3B3MI55H7CORDTEYFWW3NZTJH24USUT6PU,553866305,Algofi - Tinyman STBL-USDC (Market contract),0,Algofi,DeFi
