addr,entity,amount,is_online,is_eligible,is_cex
DTROXQN5MZS6UPBYCWBM556FUOXNQEVQDIWRUJCXPGCCNZ3XQNASSK44JU,,6157772.95372,False,False,
JDQ7EW3VY2ZHK4DKUHMNP35XLFPRJBND6M7SZ7W5RCFDNYAA47OC5IS62I,Bitfinex,6118565.58029,False,False,1.0
RW4MDFJNXCKVLS7BE24XDRHBEURJGV33K4BPFLBEMLUI2PDA46PQUMSPWE,,6114993.597842,False,False,
SQRHJWRMTBBYGVL4CEBAWYK3BP3YGI2S6F765SBTIUNKY4S5J6WPHHUTWM,,5947800.282849,False,False,
FKXE2JSTNTYCZ7LSWPLD3VAHKIZG63ESZY32NXJNSCJFQU4JQDF5SDFWRA,,5747549.515798,False,False,
WRGZ2OKNY45KAT2RSCSPKLLOOG4GSSMD7PX4YY7DPMRQMIK2YRBPP6CUMA,Nobitex,5574792.694167,False,False,1.0
HIAP6GLZL5VZ2S73FQZHX3KHZGZQCNUZJCGPMK4Q6KISMB6UA3EKKYU3CQ,Revolut,5479322.791484,False,False,1.0
E7RLFLNVLVWE5N62WNL7PPQNME2ZFEBQ2KQYHXKKIR3O4VGM7H5B6TRJ34,,5453760.710781,True,True,
PPMEMZYJXXA4Q4HU2A2S2N5DGHTV4UUQR5HDT4D6PGZNMXOUDLDBIPBHDI,,5452801.865241,False,False,
G2MWCP36TQZUHXBFSRGI2M2KRXH57V2O7CCAIWUQLP7WNJKNSLP3JURPNY,,5434124.508836,False,False,
AQTA3Y5FNLWFTBT5RIO5E6YB4XPIVZCMRBLXUVXGOPDUP66OCEQSQHZLUU,,5278220.920648,False,False,
RDQXES54CJYZOOXGXHBUAFXZE2KAXU42XPGGG4W6QUZCMG42KBTKLNNSII,,5128922.071327,True,True,
YA3ANAIGQ2P7IR4BJCEMQUNH4HQ57JMVDPSBG5VBF5TDS2RQBSZTJL7Y3Y,,5074545.418416,False,False,
